"user_id","total_purchases","lifetime_value","first_tip_amount","second_tip_amount","expansion_revenue"
"@sarfrajravani2350",1,20000.00,20000.00,0.00,0.00
"@blotmaxx",1,8900.00,8900.00,0.00,0.00
"@hanish5179",2,2698.00,899.00,1799.00,1799.00
"@SmitChristi",5,2644.70,528.94,528.94,2115.76
"@DhananjayAgrawal08",2,2000.00,1000.00,1000.00,1000.00
"@MNCCartoon",1,2000.00,2000.00,0.00,0.00
"@marvingray100",1,2000.00,2000.00,0.00,0.00
"@hiddenmonsteryt85",2,1798.00,899.00,899.00,899.00
"@iamchiragalawadhi",7,1700.00,200.00,500.00,1500.00
"@akhilreddy7771",1,1669.17,1669.17,0.00,0.00
"@metochpritam",3,1200.00,1000.00,100.00,200.00
"@Levi_23",1,1079.10,1079.10,0.00,0.00
"@Ruhi_Playz23",1,1000.00,1000.00,0.00,0.00
"@MortaLyt",1,1000.00,1000.00,0.00,0.00
"@donjuan2196",1,899.00,899.00,0.00,0.00
"@ranvirsinhzala0606",1,834.17,834.17,0.00,0.00
"@sabyasachimishra6086",3,807.00,179.00,179.00,628.00
"@Sekh688",1,800.00,800.00,0.00,0.00
"@Alpha4745-h1j",2,763.20,539.10,224.10,224.10
"@shahytx786",7,740.00,100.00,100.00,640.00
"@SillyMuffin26",2,600.00,200.00,400.00,400.00
"@sagarghadi5819",2,600.00,500.00,100.00,100.00
"@TechnicalPiyushofficals",2,600.00,400.00,200.00,200.00
"@armaanarora8831",2,582.83,416.67,166.17,166.17
"@Prasad_2374",1,539.10,539.10,0.00,0.00
"@jattsaabxlive",1,539.10,539.10,0.00,0.00
"@potheadonmdma",3,537.00,179.00,179.00,358.00
"@pandyagaurang4960",1,528.94,528.94,0.00,0.00
"@Amit_Fitnes_vlogS",1,528.94,528.94,0.00,0.00
"@omegaplays07",1,500.00,500.00,0.00,0.00
"@piyushprateem5863",1,500.00,500.00,0.00,0.00
"@SINReaper-o1b",3,495.00,275.00,110.00,220.00
"@abhinavgandhi6",1,450.00,450.00,0.00,0.00
"@piyushpratik4867",1,450.00,450.00,0.00,0.00
"@Ash_Td3f",1,450.00,450.00,0.00,0.00
"@The_DeepTales_Vlog",1,449.00,449.00,0.00,0.00
"@RIDEWITHLOKI",1,449.00,449.00,0.00,0.00
"@notmoney7223",1,449.00,449.00,0.00,0.00
"@anujkaushik2143",2,440.00,400.00,40.00,40.00
"@6cupcktg",1,439.45,439.45,0.00,0.00
"@Mikul_Life",1,439.45,439.45,0.00,0.00
"@Hannamaanlagyo",1,439.45,439.45,0.00,0.00
"@Akshugill-G",1,416.67,416.67,0.00,0.00
"@DesiZaikaHQ",4,416.00,29.00,179.00,387.00
"@darkmamba30",1,400.00,400.00,0.00,0.00
"@astroplays-9",2,400.00,200.00,200.00,200.00
"@VijayYadav-ei6ln",3,400.00,100.00,100.00,300.00
"@ArjunSingh0207",1,400.00,400.00,0.00,0.00
"@Rahulrajputvlog46",5,380.00,40.00,100.00,340.00
"@shivamjiboliye3926",5,360.00,40.00,200.00,320.00
"@siddharthm9966",2,358.00,179.00,179.00,179.00
"@unplannedbytes",4,340.00,100.00,40.00,240.00
"@nagasrinivasreddydornala7201",2,332.33,166.17,166.17,166.17
"@ALLABOUT2W",2,328.90,164.45,164.45,164.45
"@natsudragneel25",2,300.00,200.00,100.00,100.00
"@hashirimam7272",2,300.00,200.00,100.00,100.00
"@Pendufrom1Patashpur",4,280.00,100.00,40.00,180.00
"@ODExItachi14",3,240.00,40.00,100.00,200.00
"@pankajxvortex",2,240.00,200.00,40.00,40.00
"@AmadQuazi-y4y",3,225.00,50.00,50.00,175.00
"@Siddhant_s6564",1,224.10,224.10,0.00,0.00
"@TAG-AKAAL",1,224.10,224.10,0.00,0.00
"@sidsayyed4683",3,220.00,70.00,75.00,150.00
"@emubaba5287",1,212.00,212.00,0.00,0.00
"@STARxHASH-J",1,212.00,212.00,0.00,0.00
"@yashpatel0104",1,212.00,212.00,0.00,0.00
"@Saeemparkar09",1,210.94,210.94,0.00,0.00
"@wompwomp89-t5i",1,210.94,210.94,0.00,0.00
"@Inderpalsingh-pd7xz",1,210.94,210.94,0.00,0.00
"@jayvadgama5370",2,200.00,100.00,100.00,100.00
"@jayantmrigwani9392",1,200.00,200.00,0.00,0.00
"@godfathergaming1260",1,200.00,200.00,0.00,0.00
"@GOJOUU-c3k",1,200.00,200.00,0.00,0.00
"@gulshan433",1,200.00,200.00,0.00,0.00
"@hype_is_real",1,200.00,200.00,0.00,0.00
